mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zcr_mean,tempo,rms_mean,filename,genre
-168.53804,81.624214,-0.22079988,44.13526,16.02358,10.393973,-1.8515176,3.903131,-3.1739464,-9.096722,2.5068848,-0.3439089,-9.037335,59.946465,25.306995,15.757025,13.758514,14.4714,11.238583,9.940054,9.854953,10.791601,11.183953,11.548702,8.429231,9.9959955,0.19439569,0.25509298,0.3401426,0.29979986,0.44398773,0.41438875,0.62122357,0.4748641,0.2612187,0.20340152,0.20325886,0.2559885,2215.6328219833376,724.7114167736479,4652.771865325078,2393.664394833152,0.10785573481037151,112.34714673913044,0.08633224,folklore_10.wav,folklore
-192.97275,129.57005,10.602516,31.222263,5.212298,11.723961,0.85507005,0.83433604,-17.175861,3.5619464,-6.3309813,-0.3055386,-1.8059356,58.09552,29.589062,15.823277,11.921798,13.702601,11.720025,11.87765,9.288095,12.356213,11.928773,8.559559,11.956017,10.842921,0.32169506,0.17484109,0.18940334,0.24308917,0.2934536,0.16565277,0.2719107,0.34999084,0.23932885,0.2858007,0.29845962,0.45880523,1369.1022862632983,555.4738560674848,2875.1576143152574,1874.5974867301068,0.05337344898897059,95.703125,0.11424445,folklore_11.wav,folklore
-136.90674,112.28418,12.946167,33.625042,2.5206027,5.9773846,5.6467814,11.466882,-7.4680495,3.1179903,-1.7309386,5.013442,-0.56526166,55.06473,23.026068,19.782928,15.461375,16.982706,10.633311,9.921884,9.787638,12.643172,8.176054,9.78652,10.731056,9.5245285,0.275945,0.38079995,0.41333744,0.21335949,0.23250543,0.28896895,0.54625535,0.4411325,0.26004466,0.24228777,0.34341836,0.381914,1742.898263269151,510.282688863056,3778.202153728473,2235.310104431488,0.06333786341428019,107.666015625,0.124203235,folklore_12.wav,folklore
-157.79813,111.393394,-8.120478,28.397936,7.723638,9.893544,-4.45589,10.211784,-4.5491567,3.2023604,2.8455398,9.657334,-0.43042147,55.95622,28.702534,18.20821,17.007908,17.154184,11.924997,13.864002,10.974442,14.308378,11.150339,11.025669,10.910457,10.38859,0.31974778,0.41715115,0.3657513,0.27750936,0.36367473,0.23239794,0.20138179,0.19301717,0.42288643,0.43372285,0.2907073,0.35454538,1776.3240808838837,540.3979182713599,3525.7370136839686,2031.2511380532358,0.0857814162877322,99.38401442307692,0.106808804,folklore_13.wav,folklore
-125.79847,109.63106,-2.8204622,38.417297,-5.756977,-0.64501595,7.5747676,7.5878377,-18.63365,5.143858,2.9223096,-3.8948245,-4.2801557,51.85758,27.40045,17.402267,12.132708,17.429852,11.405532,11.155847,12.267679,10.8432045,13.785596,9.005583,9.560993,11.542536,0.34843954,0.4043721,0.3083079,0.34035322,0.42927867,0.27674085,0.25753078,0.35563883,0.57932425,0.45959246,0.24709582,0.2677277,1731.551109817801,571.5015159749044,3509.4871119449012,2033.0749601589332,0.07400786692143962,184.5703125,0.15326397,folklore_14.wav,folklore
-156.43083,112.62492,14.50998,30.868134,16.943132,15.499244,4.38472,11.24088,-5.6706934,0.18380648,-5.191501,1.4617616,-5.4647975,61.18101,32.953163,15.124612,15.182661,12.308307,9.32081,12.240046,9.196114,9.382092,11.876658,7.7805576,6.640425,8.521483,0.39487755,0.3422938,0.46036097,0.2675886,0.30011824,0.2504996,0.29030737,0.3890724,0.24343887,0.21155135,0.23987599,0.38739252,1673.3181143350741,729.3985325728747,3753.5773026315787,2230.3805940496786,0.05212477929082817,129.19921875,0.1363192,folklore_15.wav,folklore
-90.14839,101.45978,1.163937,26.67589,5.4507976,8.243692,-10.518192,5.11582,-7.001297,0.5847497,-2.7765052,0.40379497,-7.996144,49.813034,23.013325,17.567793,11.7978,13.868435,9.340539,11.486285,9.959074,8.344136,8.612889,10.001237,6.924501,7.0981536,0.3103645,0.43089455,0.37461346,0.26660785,0.32220304,0.35654342,0.60205,0.3960722,0.31878582,0.3190448,0.4256974,0.4341638,2074.409656320206,641.7345324617182,4532.5559255877515,2372.712970006615,0.08978252588041796,107.666015625,0.1365101,folklore_16.wav,folklore
-80.03759,111.3831,-13.087193,28.58954,4.2959485,6.783069,-2.9647977,6.1449676,-2.6178403,7.9148774,0.84278846,2.3069572,-2.981423,37.44745,24.275032,12.708745,11.205397,12.90743,7.560045,11.972816,7.1131377,9.418141,7.4284105,8.263527,7.99202,6.6569858,0.5346897,0.37275982,0.35376298,0.44339883,0.7297371,0.37962374,0.27691036,0.3877948,0.3636095,0.35009423,0.28592426,0.41743726,1866.3499712751106,465.44860092413774,3932.80955217202,2183.921990317131,0.07668320977650929,103.359375,0.14777508,folklore_17.wav,folklore
-185.26851,131.41524,-8.078595,51.100334,13.257779,5.432239,4.6159844,10.792785,-12.557819,3.5578773,1.8093846,0.30280468,4.9426475,77.33942,27.679558,23.730478,14.565733,20.237051,17.337364,13.256321,9.857711,10.590195,10.340793,8.366657,9.556504,6.9756236,0.31576878,0.24542318,0.25070903,0.37154156,0.5166738,0.44603845,0.43372557,0.4172564,0.54864377,0.5725145,0.42285964,0.40660727,1383.7414996092455,570.27596423361,2853.8494098297215,1725.7348826782907,0.06094785519059598,161.4990234375,0.106546596,folklore_18.wav,folklore
-44.60542,99.31516,14.100126,25.295355,-2.675999,-0.26512906,8.876503,-0.21465592,-9.273439,13.39347,-8.391257,6.7252426,-1.7281566,39.48291,25.701567,20.087898,13.089013,16.189278,14.210719,14.106799,10.39113,9.466673,9.805183,9.145631,8.728886,8.496895,0.23391311,0.33000085,0.39487207,0.2902775,0.39558047,0.32632384,0.44474092,0.29061407,0.26595142,0.37941897,0.3145478,0.29739967,2165.2253446557743,725.4091259085487,4632.830319242212,2477.050592459699,0.09742949400154799,86.1328125,0.25847793,folklore_19.wav,folklore
